TARGET FOLDER : C:\Users\sandi\Desktop\Courses
EXECUTION TIME: 5 minutes, 41 seconds
TOTAL FILES   : 6370
====================================================================================================
SOURCE FOLDER                                      | APPLICANT       | DETECTED JOB         | SMART DATE
----------------------------------------------------------------------------------------------------
Docs archive\v10\applications                      | Sandiso_Mazibuko | Public_Prosecutor    | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-11
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Clerk                | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Legal_Admin_Officer  | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Clerk                | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-11
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Public_Prosecutor    | 2025-10-08
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | General_Application  | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | General_Application  | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | General_Application  | 2025-10-04
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Judges_Secretary     | 2025-10-11
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-08
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Judges_Secretary     | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Judges_Secretary     | 2025-10-11
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-08
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Judges_Secretary     | 2025-10-11
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-16
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-08
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-04
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-10
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-14
Docs archive\v10\applications                      | Sandiso_Mazibuko | Candidate_Attorney   | 2025-10-15
